text,label
1,"This is a positive review","Positive"
2,"I enjoyed the movie a lot","Positive"
3,"Worst experience ever","Negative"
4,"Great performance by the actors","Positive"
5,"Negative feedback about the service","Negative"
6,"The plot was intriguing","Positive"
7,"Disappointed with the product quality","Negative"
8,"This is a positive review","Positive"
9,"I enjoyed the movie a lot","Positive"
10,"Worst experience ever","Negative"
11,"Great performance by the actors","Positive"
12,"Negative feedback about the service","Negative"
13,"The plot was intriguing","Positive"
14,"Disappointed with the product quality","Negative"
